generation,bestFitness,worstFitness,avgFitness,stdFitness,evalDurationNanos,recordedAt
1,8.844536235802135,12.959767073014078,10.517071582699282,1.76609573084565,15335000,2026-02-19T10:31:50.738910Z
2,8.490439010340163,8.734083981620575,8.573263695070873,0.11373420310791439,251333,2026-02-19T10:31:50.740497Z
3,8.490439010340163,8.67035201806289,8.599805941701772,0.07841116703712764,486459,2026-02-19T10:31:50.741724Z
4,8.490439010340163,9.36196440697792,9.031389778546485,0.3856446718471012,618750,2026-02-19T10:31:50.742963Z
5,8.180568485998833,9.257242159155474,8.65657532850175,0.4483017094929655,134000,2026-02-19T10:31:50.743732Z
6,8.180568485998833,8.608172760419038,8.336115761134893,0.19303236471535787,162917,2026-02-19T10:31:50.744647Z
7,7.312250216387201,8.67349501383664,8.171139828615258,0.6102373570322309,102000,2026-02-19T10:31:50.745788Z
8,7.312250216387201,7.752458830630514,7.493063877700031,0.1881084271685327,174209,2026-02-19T10:31:50.746618Z
9,6.606490624152237,7.230251911732041,6.997084535120352,0.2779170994624231,472583,2026-02-19T10:31:50.749982Z
10,5.9198113919621,7.179682030074444,6.7339951310950505,0.576576648328603,277084,2026-02-19T10:31:50.755601Z
11,5.9198113919621,6.198291853801998,6.050907129984856,0.11427114013111683,2116125,2026-02-19T10:31:50.758967Z
12,5.076252769786265,6.865222637418566,6.0981080810035015,0.7522291033729765,116042,2026-02-19T10:31:50.760407Z
13,5.001489505523697,5.654983367646698,5.419099727598685,0.2961215627851894,112042,2026-02-19T10:31:50.762137Z
14,4.520747646920377,5.41437328957303,5.070670005762938,0.39288372112032277,99250,2026-02-19T10:31:50.763174Z
15,4.047014350993191,5.554650819236831,4.776648907001094,0.6164394974128398,95125,2026-02-19T10:31:50.764533Z
16,4.047014350993191,4.246640346818413,4.1443544676989355,0.08157197221551346,81958,2026-02-19T10:31:50.765854Z
17,3.7270031307702998,4.593833714886116,4.195169783087817,0.3572784035914858,91375,2026-02-19T10:31:50.766143Z
18,3.7269085898815875,4.221101728555251,3.9638798577380894,0.20226101909535008,93250,2026-02-19T10:31:50.766897Z
19,3.5628457288782176,3.736144487195814,3.652902342019774,0.07091282271843811,100209,2026-02-19T10:31:50.767888Z
20,3.0236980845924406,3.8309986030319076,3.4562001623689604,0.3320951812058899,108291,2026-02-19T10:31:50.771184Z
21,2.648866973811654,2.999930153338185,2.834748713482805,0.14406645645711905,581417,2026-02-19T10:31:50.772237Z
22,2.264467670362038,2.791103070733352,2.5144074503351996,0.21582881716567145,750958,2026-02-19T10:31:50.776069Z
23,1.8570446709658888,2.1736119215972485,2.066783631582525,0.14831646488927222,1334625,2026-02-19T10:31:50.778487Z
24,1.7622588870667533,2.406383436145008,2.101684235020684,0.26410671787056056,130542,2026-02-19T10:31:50.780167Z
25,1.7059163805558417,2.241036144891108,2.0243124181766006,0.22998729624238065,112375,2026-02-19T10:31:50.782640Z
26,1.6841601837113696,2.054758015485508,1.897616172769034,0.15644839519263404,417500,2026-02-19T10:31:50.783628Z
27,1.6841601837113696,1.896818809333935,1.7635279603828244,0.09482157298834962,98417,2026-02-19T10:31:50.783965Z
28,1.6841601837113696,1.8316447989224733,1.743573138131141,0.06352909579691471,83792,2026-02-19T10:31:50.784232Z
29,1.5924348296102264,2.3282559269642933,1.8509194154452473,0.3379154685810642,95125,2026-02-19T10:31:50.785650Z
30,1.172763842547454,2.0969665048890045,1.5257012366053797,0.4076664778694605,339417,2026-02-19T10:31:50.790648Z
31,1.1237626493643404,1.4248622085719134,1.3220031709344955,0.14021045312114905,102584,2026-02-19T10:31:50.791518Z
32,1.1237626493643404,1.2051754503595942,1.1712659113609616,0.034598680323414344,200375,2026-02-19T10:31:50.793248Z
33,0.9333275010707559,1.7519975240869337,1.4446044292082256,0.36398865801426855,374875,2026-02-19T10:31:50.794721Z
34,0.9333275010707559,1.1521909615671246,1.0503397934321006,0.08999147497019125,1179958,2026-02-19T10:31:50.797662Z
35,0.8918202602475424,1.1612133371521527,1.02542544786891,0.10999009231423798,313417,2026-02-19T10:31:50.798309Z
36,0.8918202602475424,1.0943349996330956,0.9740717956486522,0.08693568553233863,196916,2026-02-19T10:31:50.798794Z
37,0.8354858974086832,1.1639330082299235,0.9659736761505013,0.14232283497749493,555583,2026-02-19T10:31:50.800078Z
38,0.8354858974086832,0.8375204771371187,0.8366057835045604,8.431910135876222E-4,151125,2026-02-19T10:31:50.800398Z
39,0.7817136281072632,1.3434459093350468,1.079603143937489,0.2305864622429957,69667,2026-02-19T10:31:50.800649Z
40,0.7565270393661376,0.9885330253351923,0.8432128636541729,0.10339304787235944,89959,2026-02-19T10:31:50.801496Z
41,0.6344859295086555,1.1941337836073296,0.9271897713577296,0.22920021344530228,413459,2026-02-19T10:31:50.806221Z
42,0.4221216997457107,1.0305155588150232,0.7500908424812325,0.2506406807892058,1269958,2026-02-19T10:31:50.808371Z
43,0.3733020125906569,0.5063675780106756,0.4449877207172297,0.05481039497627748,467666,2026-02-19T10:31:50.809223Z
44,0.3733020125906569,0.4584501068630406,0.412861860926469,0.03502195190428729,596000,2026-02-19T10:31:50.811828Z
45,0.349448358227951,0.6196635183625534,0.44144248728768515,0.12604329194100433,312666,2026-02-19T10:31:50.812691Z
46,0.2982813436524474,0.4572393459454949,0.38833126432696335,0.06659401695973888,93500,2026-02-19T10:31:50.812977Z
47,0.2363648186693199,0.49780523976327007,0.4080148903569311,0.12141810420861393,116042,2026-02-19T10:31:50.813347Z
